Aa,Ad,Ba,Bd,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,length
0,0,0,0,25.0000,25.0000,25.0000,20.8333,4.1667,0.0000,0.0000,0.0000,0.0000,0.0000,45.8333,29.1667,16.6667,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24
0,0,0,1,28.5714,42.8571,14.2857,14.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.6190,38.0952,9.5238,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21
0,0,0,2,36.3636,40.9091,11.3636,11.3636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.3636,36.3636,22.7273,4.5455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
0,0,0,3,37.7778,40.0000,11.1111,11.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5556,37.7778,22.2222,4.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,0,1,0,23.0769,42.3077,15.3846,19.2308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.7692,38.4615,15.3846,11.5385,3.8462,0.0000,0.0000,0.0000,0.0000,0.0000,26
0,0,1,1,33.3333,24.4444,28.8889,6.6667,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,26.6667,26.6667,37.7778,8.8889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,0,1,2,36.9231,27.6923,23.0769,7.6923,4.6154,0.0000,0.0000,0.0000,0.0000,0.0000,24.6154,30.7692,36.9231,7.6923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65
0,0,1,3,34.5238,33.3333,21.4286,7.1429,3.5714,0.0000,0.0000,0.0000,0.0000,0.0000,22.6190,30.9524,33.3333,10.7143,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,84
0,0,2,0,21.9512,39.0244,21.9512,17.0732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.1463,39.0244,14.6341,9.7561,2.4390,0.0000,0.0000,0.0000,0.0000,0.0000,41
0,0,2,1,33.3333,24.4444,28.8889,6.6667,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,26.6667,26.6667,37.7778,8.8889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,0,2,2,31.2500,39.5833,22.9167,6.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.2500,33.3333,14.5833,8.3333,12.5000,0.0000,0.0000,0.0000,0.0000,0.0000,48
0,0,2,3,29.6875,42.1875,21.8750,6.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,34.3750,15.6250,12.5000,12.5000,0.0000,0.0000,0.0000,0.0000,0.0000,64
0,0,3,0,25.4902,35.2941,25.4902,13.7255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.5294,45.0980,11.7647,15.6863,3.9216,0.0000,0.0000,0.0000,0.0000,0.0000,51
0,0,3,1,34.4262,27.8689,27.8689,4.9180,4.9180,0.0000,0.0000,0.0000,0.0000,0.0000,22.9508,32.7869,29.5082,13.1148,1.6393,0.0000,0.0000,0.0000,0.0000,0.0000,61
0,0,3,2,32.8125,39.0625,23.4375,4.6875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.5625,37.5000,12.5000,12.5000,10.9375,0.0000,0.0000,0.0000,0.0000,0.0000,64
0,0,3,3,48.6842,31.5789,14.4737,5.2632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.1053,23.6842,23.6842,19.7368,6.5789,5.2632,1.3158,1.3158,0.0000,1.3158,76
0,1,0,0,0.0000,57.1429,33.3333,4.7619,4.7619,0.0000,0.0000,0.0000,0.0000,0.0000,38.0952,47.6190,14.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21
0,1,0,1,15.3846,48.0769,21.1538,9.6154,5.7692,0.0000,0.0000,0.0000,0.0000,0.0000,44.2308,38.4615,15.3846,1.9231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52
0,1,0,2,35.5556,37.7778,15.5556,6.6667,4.4444,0.0000,0.0000,0.0000,0.0000,0.0000,35.5556,37.7778,24.4444,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
